,nuinique,Na_count,filled_count,empty_fraction
Pipe_supply_Charecteristics_PLA_Classification,10,165147.0,1085888.0,0.132
Pipe_supply_Charecteristics_Direct_DSRs,7,0.0,1251035.0,0.0
Pipe_supply_Charecteristics_Direct_Boosters,10,0.0,1251035.0,0.0
Pipe_supply_Charecteristics_Direct_Sources_No,11,0.0,1251035.0,0.0
Pipe_supply_Charecteristics_Direct_Source_Types,5,1.0,1251034.0,0.0
Pipe_supply_Charecteristics_Direct_SW_MinDist,44950,0.0,1251035.0,0.0
Pipe_supply_Charecteristics_Direct_SG_MinDist,32477,0.0,1251035.0,0.0
Pipe_supply_Charecteristics_Direct_GW_MinDist,11756,0.0,1251035.0,0.0
Pipe_supply_Charecteristics_Indirect_Source_No,12,0.0,1251035.0,0.0
Pipe_supply_Charecteristics_Indirect_Source_Types,5,1.0,1251034.0,0.0
Pipe_supply_Charecteristics_Source_Summary,17,1.0,1251034.0,0.0
SAP_bursts_V2_FINAL_ASSET,32831,1208970.0,42065.0,0.966
SAP_bursts_V2_FDB_TECHNIQUE,5,1208970.0,42065.0,0.966
SAP_bursts_V2_FWR_CREATE_DATE,3719,1208970.0,42065.0,0.966
Prediction_SAP_Burst,2,0.0,1251035.0,0.0
Count_na,71,,,
